Designator,Quantity,Manufacturer ,Manufacturer Part Number,Vendor,Vendor Part Number,Description,,
"R1, R3",2,Bourns Inc.,3310Y-001-103L,Digi-Key,3310Y-001-103L-ND,POT 10K OHM 1/4W PLASTIC LINEAR,,
R2,1,Yageo,RC0805FR-076K65L,Digi-Key,311-6.65KCRCT-ND,RES SMD 6.65K OHM 1% 1/8W 0805,,
C1,1,Yageo,CC0805KKX7R7BB105,Digi-Key,311-1365-1-ND,CAP CER 1UF 16V X7R 0805,,
C2,1,Yageo,CC0603KRX7R7BB104,Digi-Key,311-1088-1-ND,CAP CER 0.1UF 16V X7R 0603,,
U1,1,STMicroelectronics,TSV911ILT,Digi-Key,497-6000-1-ND,IC OPAMP GP 8MHZ RRO SOT23-5,,
